,Titel,Text,Form,Ort,Datum,Lemmata,CodedLemmata_spaCy,Female_coded_words_spaCy,Male_coded_words_spaCy,Number_Female_coded_words_spaCy,Number_Male_coded_words_spaCy
0,Elektrokonstrukteur (m/w/d)," Kurtz Ersa ist ein Maschinenbauer für die produzierende Industrie in Familienbesitz mit fast 250-jähriger Tradition. Daher fühlen wir uns verpflichtet, unsere Strategie mit 1.500 Mitarbeitern auf ein langfristiges, gesundes und nachhaltiges Wachstum auszurichten. Das Erstellen und Konstruieren der elektrischen Schaltpläne für Neumaschinen und geplante Umbauten unter Berücksichtigung von Kundenvorgaben und gültigen Normen gehört zu Ihren Aufgaben Sie erstellen und pflegen Stücklisten sowie Artikeldatenbanken in EPLAN P8 Die Auslegung und Dimensionierung von elektronischen Komponenten fallen in Ihren Tätigkeitsbereich Sie pflegen Daten der elektrischen Komponenten und setzen Aufträge um über SAP Sie haben eine erfolgreich abgeschlossene Aus- bzw. Weiterbildung zum Techniker im Bereich Elektrotechnik / Automatisierungstechnik oder ein erfolgreich abgeschlossenes Studium im Bereich der Elektrotechnik oder vergleichbar Sie verfügen über einschlägige Berufserfahrung im o.g. Bereich und konnten bereits Erfahrung im Schaltschrankbau und der Maschineninstallation, gemäß den aktuell geltenden Normen Der Umgang mit EPLAN P8 sowie mit MS Office stellt für Sie kein Problem dar Sie haben Erfahrung mit der Validierungssoftware Sistema, zur sicherheitsgerechten Auslegung der Sicherheitssteuerung nach EN13849 Sie sind teamfähig, flexibel und besitzen eine hohe Eigeninitiative Kenntnisse mit SAP ERP oder S/4 HANA runden Ihr Profil ab Arbeiten in einem international ausgerichteten Familienunternehmen mit Tradition und Werten seit 1779 Abwechslungsreiche und verantwortungsvolle Tätigkeiten in engagierten Teams mit spannenden Projekten Angenehme Arbeitsatmosphäre und ein offenes und familienfreundliches Betriebsklima Gute Einarbeitung und Förderung der persönlichen Kompetenzen im Rahmen unseres modernen Personalentwicklungskonzepts durch professionelle Einarbeitungspläne und Onboardingtage sowie jährliche Mitarbeitergespräche und Kompetenzeinschätzungen Umfangreiche Weiterbildungsmöglichkeiten in unserer konzerneigenen Akademie (Hammer Academy) Attraktive Vergütung mit einer Mitarbeitererfolgsbeteiligung Angebote im Rahmen unseres Programms Attraktiver Arbeitgeber, wie z. B. Mobiles Arbeiten, Kinderferienbetreuung oder Vergünstigungen bei verschieden Kooperationspartnern Attraktive flexible Arbeitszeiten für eine gute Work-Life-Balance Arbeiten zwischen Spessart und Taubertal in einem Gebiet mit hohem Wohn- und Freizeitwert",,Würzburg,Ende März,[],"{'female-coded': ['ANGENEHM', 'ENGAGIERT', 'KIND', 'VERANTWORTUNGSVOLL'], 'male-coded': ['EIGENINITIATIV']}","['ANGENEHM', 'ENGAGIERT', 'KIND', 'VERANTWORTUNGSVOLL']",['EIGENINITIATIV'],4,1
1,Vertriebler:in / Berater:in von Immobilieneigentümer:innen / Sales Multimedia (Erfahrung im Außendienst)," Vertrieb ist Dein zweiter Vorname? Du zielst auf Abschluss und stehst auf Ergebnisse? Dann bist Du bei uns genau richtig. Mach die digitale Zukunft zu Deiner Chance. Werde selbständige:r Handelsvertreter:in  und unterstütz uns beim Ausbau unseres Geschäfts in Deutschland. Werde tätig als Du berätst Kund:innen mit Immobilien-Eigentum bei Vertragsverlängerungen und -anpassungen Du stehst in Kontakt mit Hauseigentümer:innen, Hausverwaltungen, Wohnungseigentümergemeinschaften, Architekt:innen und Bauträgern Du vermittelst individuelle Multimedia-Infrastrukturverträge mit TV-Grundversorgung für Mehrfamilien- und Mehrgenerationenhäuser Du berätst Bewohner:innen der neuangeschlossenen Objekte zu unseren TV-Zusatz-, Internet- und Telefon-Produkten Erfahrung im Vertrieb Kaufmännische Ausbildung Zielstrebigkeit und Verhandlungsgeschick Du denkst und handelst eigenverantwortlich Begeisterungsfähigkeit Kund:innen-Orientierung Stress kann Dir nichts anhaben Überzeugungskraft Motivation und Ehrgeiz für überdurchschnittliche Erfolge Du trittst souverän auf Abschlusssicherheit Regionale Flexibilität Führerschein  und Du bist mobil Eine erfolgsgerechte Provision Moderne Data-Management-Tools für einen Rundum-Blick auf Bestandskund:innen Du erhältst Kundenanfragen unserer Bestandskund:innen Professionelle Verkaufsmaterialien Unsere volle Unterstützung von Anfang an  inklusive fundierter Einarbeitung und Begleitung Ein großes Lern- und Entwicklungsangebot mit vielen Online- und Präsenz-Trainings Erfolgsabhängige Anreize wie tolle Reisen und Auszahlungs-Schecks Vergünstigte Konditionen für Dein privates KFZ-Leasing Freie Zeitgestaltung: Du entscheidest, wann und wo Du Kund:innen besuchst und im Mobile Office bist",,Würzburg,Ende März,[],"{'male-coded': ['INDIVIDUELL', 'SELBSTÄNDIG', 'SELBSTÄNDIG', 'ÜBERDURCHSCHNITTLICH', 'ZIELSTREBIG']}",[],"['INDIVIDUELL', 'SELBSTÄNDIG', 'SELBSTÄNDIG', 'ÜBERDURCHSCHNITTLICH', 'ZIELSTREBIG']",0,5
2,SAP Analytics Cloud (SAC) Junior Consultant (m/w/d)," Kurtz Ersa ist ein Maschinenbauer für die produzierende Industrie in Familienbesitz mit fast 250-jähriger Tradition. Daher fühlen wir uns verpflichtet, unsere Strategie mit 1.500 Mitarbeitern auf ein langfristiges, gesundes und nachhaltiges Wachstum auszurichten. Sie supporten die Bereiche SAP Analytics Cloud (SAC) und SAP Analytics Die Erstellung von User-Stories und Analytic Applications Sie unterstützen die Fachabteilung im Bereich SAP Analytics Cloud Planning Sie begleiten den kontinuierlichen Change-Management Prozess im Bereich SAC und SAP Analytics Die Organisation und Durchführung von Präsentationen, Workshops sowie Schulungen im Bereich Analytics Vertretung Bereich SAP BW Sie haben eine analytische und lösungsorientierte Denkweise Sie haben erste Erfahrung beim Modellieren und Erstellen von Storys in der SAC Sie haben erste Erfahrung mit Berechtigungen und Rollen (Identity &amp; Access Management in der SAP Analytics Cloud, alternativ im BW-Umfeld) Erfahrungen im Bereich Analytics Designer und SAC Planning wünschenswert Kenntnisse in Java Script und oder SQL (HANA Studios) wünschenswert Grundkenntnisse im SAP Business Warehouse wünschenswert Sie haben gute Deutsch und Englischkenntnisse Sehr gute MS Office und S/4 HANA Kenntnisse runden Ihr Profil ab Arbeiten in einem international ausgerichteten Familienunternehmen mit Tradition und Werten seit 1779 Abwechslungsreiche und verantwortungsvolle Tätigkeiten in engagierten Teams mit spannenden Projekten Angenehme Arbeitsatmosphäre und ein offenes und familienfreundliches Betriebsklima Gute Einarbeitung und Förderung der persönlichen Kompetenzen im Rahmen unseres modernen Personalentwicklungskonzepts durch professionelle Einarbeitungspläne und Onboardingtage sowie jährliche Mitarbeitergespräche und Kompetenzeinschätzungen Umfangreiche Weiterbildungsmöglichkeiten in unserer konzerneigenen Akademie (Hammer Academy) Attraktive Vergütung mit einer Mitarbeitererfolgsbeteiligung Angebote im Rahmen unseres Programms Attraktiver Arbeitgeber, wie z. B. Mobiles Arbeiten, Kinderferienbetreuung oder Vergünstigungen bei verschieden Kooperationspartnern Attraktive flexible Arbeitszeiten für eine gute Work-Life-Balance Arbeiten zwischen Spessart und Taubertal in einem Gebiet mit hohem Wohn- und Freizeitwert",,Würzburg,Ende März,[],"{'female-coded': ['ANGENEHM', 'ENGAGIERT', 'KIND', 'VERANTWORTUNGSVOLL'], 'male-coded': ['LÖSUNGSORIENTIERT']}","['ANGENEHM', 'ENGAGIERT', 'KIND', 'VERANTWORTUNGSVOLL']",['LÖSUNGSORIENTIERT'],4,1
3,Mitarbeiter/in (m/w/d) für die Kundenbetreuung im Außendienst Region Tübingen," Die HANS CONZEN KOSMETIK GmbH widmet sich seit über 50 Jahren der Herstellung von Pflegeprodukten für Haut und Haare. Unsere Marken GLYNT und GRAHAM HILL sind exklusive und erfolgreiche Haarkosmetikmarken, die wir nur direkt an Friseursalons verkaufen. Unser Unternehmen ist bereits elf Mal hintereinander von den Lesern des friseur intern-Partnerschaftsspiegels zum besten Haarkosmetiklieferanten gewählt worden. Sie betreuen unsere bestehenden Kunden und Neuinteressenten im Verkaufsgebiet Sie akquirieren neue Kunden Sie nehmen Produktschulungen vor  Freude an einer Tätigkeit im Verkaufs- Außendienst Wahres Interesse an der Friseurbranche, Freundlichkeit, positive Ausstrahlung Ihr Wohnort liegt in der Region, für die Sie sich bewerben Eine abgeschlossene Friseurausbildung ist von Vorteil, aber nicht Voraussetzung  Einen sicheren Arbeitsplatz in einem inhabergeführten Unternehmen mit leistungsgerechtem Gehalt, Prämien, Spesen und betrieblicher Altersvorsorge Ein freundliches und familiäres Arbeitsumfeld in einem motivierten und dynamischen Team Ein spannendes und abwechslungsreiches Tätigkeitsfeld Ein Firmenfahrzeug, auch zur privaten Nutzung Moderne Bürotechnik wie Laptop, iPad und Mobiltelefon",,Würzburg,Ende März,[],"{'female-coded': ['FAMILIÄR', 'FREUNDLICH']}","['FAMILIÄR', 'FREUNDLICH']",[],2,0
4,Mitarbeiterin/Mitarbeiter der Vermessungstechnik oder der Geomatik (m/w/d)," Die Technische Hochschule Würzburg-Schweinfurt (THWS) ist eine der größten praxisorientierten Hochschulen in Bayern und deckt mit den Bereichen Technik, Sozial- und Wirtschaftswissenschaften, Gestaltung und Sprachen ein breites Fächerspektrum ab. Wir begleiten rund 9.300 Studierende in mehr als 50 Studiengängen auf ihrem Bildungsweg. Gesamtgesellschaftlichen Herausforderungen wie der Energiewende oder der Klimakrise begegnen wir mit einem innovativen und internationalen Studienangebot. Vorreiter waren wir beispielsweise bei der Konzeption zweisprachiger Studiengänge (TWIN-Studiengänge), beim Aufbau des ersten grundständigen Studiengangs für Wasserstofftechnik sowie beim softwarezentrierten Studiengang Robotik. Daneben bildet die Digitalisierung einen wichtigen Schwerpunkt für unsere Hochschule. Im Rahmen der Hightech Agenda Bayern investiert der Freistaat Bayern aktuell erheblich in den weiteren Ausbau unserer Hochschule als Teil des bayerischen KI-Netzwerks. So entstehen am Hochschulstandort Würzburg ein Zentrum für Starke Künstliche Intelligenz und am Hochschulstandort Schweinfurt ein Center für Robotik. Aufgaben im Labor für Vermessungs- und Instrumentenkunde: erfolgreich abgeschlossene einschlägige Berufsausbildung, idealerweise im Bereich des Vermessungswesens oder der Geomatik selbständiges, gewissenhaftes Arbeiten Team- und Kommunikationsfähigkeit deutsche Sprachkenntnisse in Wort und Schrift (mindestens Niveau C1) Die Einstellung und Vergütung richtet sich nach den einschlägigen Regelungen des Tarifvertrags der Länder mit allen im öffentlichen Dienst üblichen Leistungen. Die Eingruppierung erfolgt bei Vorliegen aller Voraussetzungen in Entgeltgruppe 8 TV-L.",,Würzburg,Ende März,[],"{'female-coded': ['GEWISSENHAFT'], 'male-coded': ['SELBSTÄNDIG', 'SELBSTÄNDIG']}",['GEWISSENHAFT'],"['SELBSTÄNDIG', 'SELBSTÄNDIG']",1,2
5,"Informatiker, Ingenieure und Naturwissenschaftler für dieSoftwareentwicklung (m/w/d)"," Als Hidden Champion auf dem Gebiet der Produktionstechnik für elektronische Baugruppen suchen wir für unseren Standort in Wertheim bei Würzburg mehrere Weiterentwicklung der Software zur Steuerung und Modellierung der von SMT entwickelten Maschinen, zur Anbindung ihrer Peripherie sowie zu ihrer Einbindung in Manufacturing Execution Systems Erstellung von Produkt- und Technikroadmaps Screening neuer Technologien Management von Softwareentwicklungsprojekten, Koordination externer Dienstleister Beratung anderer Abteilungen bezüglich softwaretechnischer Fragestellungen, Wissenstransfer Sonderprojekte Erfolgreich abgeschlossenes Studium der (Wirtschafts-) Informatik oder eines anderen MINTStudiengangs (z. B. Elektrotechnik, Physik, Maschinenbau, Mechatronik, Mathematik, Chemie oder Wirtschaftsingenieurwesen), gegebenenfalls ergänzt durch eine Promotion Erfahrung im Bereich der Softwareerstellung und Interesse, sich auch in neue softwaretechnische Themen einzuarbeiten Kenntnisse auf dem Gebiet der MES- oder SPSProgrammierung können die Einarbeitung erleichtern, sind aber keine Bedingung Sehr gute analytische und konzeptionelle Fähigkeiten Sichere Beherrschung der deutschen und gute Beherrschung der englischen Sprache Interessante und abwechslungsreiche Aufgabenstellungen mit internationalen Kontakten   Ein hohes Maß an Gestaltungsfreiheit sowie ein engagiertes und hilfsbereites Team Flache Hierarchien und kurze Entscheidungswege Interne und externe Weiterbildungsmöglichkeiten Kostenfreie Sozialleistungen in Form von Essenszuschuss, Obst und Getränke sowie eine großzügige moderne Kantine mit Möglichkeit zu Darts und Tischfußball Work-Life-Balance, u. a. durch Homeoffice und Gleitzeitmodelle mit flexiblen Arbeitszeiten Mitarbeitererfolgsbeteiligung Einen unbefristeten Arbeitsvertrag und eine Position mit Perspektive",,Würzburg,Ende März,[],"{'female-coded': ['ENGAGIERT', 'HILFSBEREIT']}","['ENGAGIERT', 'HILFSBEREIT']",[],2,0
6,Microsoft SharePoint Developer (m/w/d)," Kurtz Ersa ist ein Maschinenbauer für die produzierende Industrie in Familienbesitz mit fast 250-jähriger Tradition. Daher fühlen wir uns verpflichtet, unsere Strategie mit 1.500 Mitarbeitern auf ein langfristiges, gesundes und nachhaltiges Wachstum auszurichten. Die Administration und Weiterentwicklung unserer Microsoft O3654 Hybrid-Umgebung (SharePoint Online, Azure, Teams) gehört zu Ihren Aufgaben Sie entwickeln unser Intranet auf Basis von SharePoint Online weiter Sie gestalten neue Technologien für den weiteren Transformationsprozess der IT-Landschaften mit Ihre Tätigkeit umfasst das Erstellen von Powershell-Scripts für automatisierte Prozesse Das Lokalisieren, Eingrenzen und Beheben von Störungen im täglichen operativen Betrieb gehören zu Ihrem Aufgabenbereich Sie verfügen über sehr gute Kenntnisse in O365 (SharePoint Online, Exchange Online, Teams, etc.) Kenntnisse im Erstellen von Skripten mittels Microsoft PowerShell zeichnen Sie aus Sie sind ein Teamplayer mit ausgeprägter, eigenverantwortlicher sowie strukturierter Arbeitsweise und verfügen über eine Hands-on-Mentalität Wünschenswert sind Kenntnisse im Bereich PowerAutomate Gute Deutschkenntnisse runden Ihr Profil ab Arbeiten in einem international ausgerichteten Familienunternehmen mit Tradition und Werten seit 1779 Abwechslungsreiche und verantwortungsvolle Tätigkeiten in engagierten Teams mit spannenden Projekten Angenehme Arbeitsatmosphäre und ein offenes und familienfreundliches Betriebsklima Gute Einarbeitung und Förderung der persönlichen Kompetenzen im Rahmen unseres modernen Personalentwicklungskonzepts durch professionelle Einarbeitungspläne und Onboardingtage sowie jährliche Mitarbeitergespräche und Kompetenzeinschätzungen Umfangreiche Weiterbildungsmöglichkeiten in unserer konzerneigenen Akademie (Hammer Academy) Attraktive Vergütung mit einer Mitarbeitererfolgsbeteiligung Angebote im Rahmen unseres Programms Attraktiver Arbeitgeber, wie z. B. Mobiles Arbeiten, Kinderferienbetreuung oder Vergünstigungen bei verschieden Kooperationspartnern Attraktive flexible Arbeitszeiten für eine gute Work-Life-Balance Arbeiten zwischen Spessart und Taubertal in einem Gebiet mit hohem Wohn- und Freizeitwert",,Würzburg,Ende März,[],"{'female-coded': ['ANGENEHM', 'ENGAGIERT', 'KIND', 'VERANTWORTUNGSVOLL']}","['ANGENEHM', 'ENGAGIERT', 'KIND', 'VERANTWORTUNGSVOLL']",[],4,0
7,"Ingenieure, Techniker, Technische Produktdesigner, Konstrukteure(m/w/d)"," Als Hidden Champion auf dem Gebiet der Produktionstechnik für elektronische Baugruppen suchen wir für unseren Standort in Wertheim bei Würzburg mehrere  Entwicklung bzw. Konstruktion neuartiger Maschinen und Anlagen sowie kontinuierliche Weiterentwicklung der bestehenden Produktfamilien Durchführung der erforderlichen Berechnungen Mitarbeit bei der Einführung der entwickelten Maschinen in die Produktion Erstellung von Produkt- und Technikroadmaps Screening neuer Technologien Unterstützung anderer Abteilungen bei der Betreuung der entwickelten Maschinen über ihren Produktlebenszyklus Sonderprojekte In Abhängigkeit von der jeweiligen Position:  - erfolgreich abgeschlossenes Studium des Maschinenbaus, der Elektrotechnik oder eines anderen ingenieurwissenschaftlichen Studiengangs, gegebenenfalls ergänzt durch eine Promotion, bzw. -  abgeschlossene Aus-/Weiterbildung zum Techniker oder Technischen Produktdesigner Erfahrung im Umgang mit CAD-Programmen Interesse, sich auch in neue technische Themen einzuarbeiten Gute analytische und konzeptionelle Fähigkeiten Sichere Beherrschung der deutschen und gute Beherrschung der englischen Sprache Interessante und abwechslungsreiche Aufgabenstellungen mit internationalen Kontakten Ein hohes Maß an Gestaltungsfreiheit sowie ein engagiertes und hilfsbereites Team Flache Hierarchien und kurze Entscheidungswege Interne und externe Weiterbildungsmöglichkeiten Kostenfreie Sozialleistungen in Form von Essenszuschuss, Obst und Getränke sowie eine großzügige moderne Kantine mit Möglichkeit zu Darts und Tischfußball Work-Life-Balance, u. a. durch Homeoffice und Gleitzeitmodelle mit flexiblen Arbeitszeiten Mitarbeitererfolgsbeteiligung Einen unbefristeten Arbeitsvertrag und Positionen mit Perspektive",,Würzburg,Ende März,[],"{'female-coded': ['ENGAGIERT', 'HILFSBEREIT']}","['ENGAGIERT', 'HILFSBEREIT']",[],2,0
8,Microsoft CRM Developer (m/w/d)," Kurtz Ersa ist ein Maschinenbauer für die produzierende Industrie in Familienbesitz mit fast 250-jähriger Tradition. Daher fühlen wir uns verpflichtet, unsere Strategie mit 1.500 Mitarbeitern auf ein langfristiges, gesundes und nachhaltiges Wachstum auszurichten. Die Implementierung von Dynamics 365 (CRM) Lösungen wie Customer Engagement (Sales, Customer Service, Marketing), PowerApps, Power Platform gehören zu Ihren Aufgaben Sie erweitern die Dynamics 365 Standard Module durch Customizing, sowie JavaScript und C# Funktionen Die Implementierung von Schnittstellen, Web-Frontends sowie Backend- und Datenbankentwicklungen fallen in Ihren Tätigkeitsbereich Sie entwickeln, integrieren, warten und betreuen den 3rd-Level-Support neuer oder bestehender Dynamics 365 Anwendungen Sie beraten unsere Fachbereiche in integrativen und technologischen Fragen im Bereich Microsoft Dynamics 365 Sie haben Erfahrungen in der Anpassung und Integration von MS Dynamics CRM Sie verfügen über Kenntnisse im Bereich MS SQL Server, Kenntnisse im Bereich Reporting Services sind wünschenswert Sehr gute Programmierkenntnisse in CRM, Power Automate, C#, und .NET zeichnen Sie aus Sie besitzen Methodenkenntnisse aus dem Umfeld CRM und Customer Journey Gute Deutschkenntnisse runden Ihr Profil ab Arbeiten in einem international ausgerichteten Familienunternehmen mit Tradition und Werten seit 1779 Abwechslungsreiche und verantwortungsvolle Tätigkeiten in engagierten Teams mit spannenden Projekten Angenehme Arbeitsatmosphäre und ein offenes und familienfreundliches Betriebsklima Gute Einarbeitung und Förderung der persönlichen Kompetenzen im Rahmen unseres modernen Personalentwicklungskonzepts durch professionelle Einarbeitungspläne und Onboardingtage sowie jährliche Mitarbeitergespräche und Kompetenzeinschätzungen Umfangreiche Weiterbildungsmöglichkeiten in unserer konzerneigenen Akademie (Hammer Academy) Attraktive Vergütung mit einer Mitarbeitererfolgsbeteiligung Angebote im Rahmen unseres Programms Attraktiver Arbeitgeber, wie z. B. Mobiles Arbeiten, Kinderferienbetreuung oder Vergünstigungen bei verschieden Kooperationspartnern Attraktive flexible Arbeitszeiten für eine gute Work-Life-Balance Arbeiten zwischen Spessart und Taubertal in einem Gebiet mit hohem Wohn- und Freizeitwert",,Würzburg,Ende März,[],"{'female-coded': ['ANGENEHM', 'ENGAGIERT', 'KIND', 'VERANTWORTUNGSVOLL']}","['ANGENEHM', 'ENGAGIERT', 'KIND', 'VERANTWORTUNGSVOLL']",[],4,0
9,Servicetechniker (m/w/d) Elektro im Facility Management," Neue Herausforderung gesucht? Dann kommen Sie in unser Team bei HOCHTIEF PPP Solutions GmbH am am Standort Würzburg , in unbefristeter Anstellung , ab sofort als",,Würzburg,Ende März,[],{},[],[],0,0
